lead_id,interaction_id,interaction_datetime,channel,platform,campaign_name,campaign_type,course,click_id,cost
L0016,I000071,2026-01-30 01:00:00,Orgânico,Site,Orgânico - Engenharia de Software,especifica,Engenharia de Software,,0.0
L0016,I000072,2026-02-09 11:00:00,E-mail,CRM,E-mail - Performance,performance,Engenharia de Software,,0.0
L0016,I000073,2026-02-17 05:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Engenharia de Software,GCLID_68164f1cab8f,5.35
L0016,I000074,2026-02-26 01:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Engenharia de Software,,0.0
L0016,I000075,2026-02-27 11:00:00,Orgânico,Site,Orgânico - Performance,performance,Engenharia de Software,,0.0
L0016,I000076,2026-03-02 06:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Engenharia de Software,,0.0
L0016,I000077,2026-03-02 17:00:00,E-mail,CRM,E-mail - Performance,performance,Engenharia de Software,,0.0
L0016,I000078,2026-03-13 03:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Engenharia de Software,,0.0
L0016,I000079,2026-03-26 02:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Engenharia de Software,,7.23
L0016,I000080,2026-03-29 21:00:00,TikTok Ads,TikTok,TikTok Ads - Engenharia de Software,especifica,Engenharia de Software,,1.93
L0016,I000081,2026-04-02 11:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Engenharia de Software,,8.05
L0018,I000084,2026-01-10 16:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,Engenharia de Software,,6.81
L0018,I000085,2026-01-22 06:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Engenharia de Software,FBCLID_d68fe071a4e7,1.1
L0018,I000086,2026-01-26 09:00:00,Google Ads,Google,Google Ads - Performance,performance,Engenharia de Software,GCLID_0019fc5f6eb0,7.35
L0018,I000087,2026-02-03 18:00:00,TikTok Ads,TikTok,TikTok Ads - Engenharia de Software,especifica,Engenharia de Software,,3.43
L0018,I000088,2026-02-14 14:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Engenharia de Software,GCLID_25ca741cd4f9,4.13
L0018,I000089,2026-02-25 04:00:00,Google Ads,Google,Google Ads - Engenharia de Software,especifica,Engenharia de Software,GCLID_f63204db5102,8.58
L0018,I000090,2026-03-08 18:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Engenharia de Software,,2.56
L0018,I000091,2026-03-19 20:00:00,Orgânico,Site,Orgânico - Performance,performance,Engenharia de Software,,0.0
L0018,I000092,2026-03-25 13:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Engenharia de Software,,5.49
L0018,I000093,2026-04-02 03:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,Engenharia de Software,,6.38
L0018,I000094,2026-04-07 19:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Engenharia de Software,especifica,Engenharia de Software,,8.14
L0019,I000095,2026-01-19 03:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Agronegócio,GCLID_d33a824ed601,2.97
L0020,I000096,2026-04-04 07:00:00,E-mail,CRM,E-mail - Engenharia de Software,especifica,Engenharia de Software,,0.0
L0020,I000097,2026-04-07 12:00:00,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,Engenharia de Software,,7.47
L0020,I000098,2026-04-07 13:00:00,E-mail,CRM,E-mail - Performance,performance,Engenharia de Software,,0.0
L0021,I000099,2026-02-06 20:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Engenharia de Software,FBCLID_f96d22acf113,7.32
L0021,I000100,2026-02-12 15:00:00,E-mail,CRM,E-mail - Engenharia de Software,especifica,Engenharia de Software,,0.0
L0021,I000101,2026-02-22 00:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Engenharia de Software,GCLID_55a1966353c4,7.33
L0021,I000102,2026-02-24 21:00:00,E-mail,CRM,E-mail - Remarketing,remarketing,Engenharia de Software,,0.0
L0021,I000103,2026-03-08 01:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Engenharia de Software,,0.0
L0021,I000104,2026-03-17 16:00:00,Orgânico,Site,Orgânico - Performance,performance,Engenharia de Software,,0.0
L0021,I000105,2026-03-21 19:00:00,Orgânico,Site,Orgânico - Performance,performance,Engenharia de Software,,0.0
L0021,I000106,2026-03-25 01:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Engenharia de Software,,0.0
L0021,I000107,2026-03-26 22:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Engenharia de Software,,7.12
L0021,I000108,2026-04-04 21:00:00,Google Ads,Google,Google Ads - Engenharia de Software,especifica,Engenharia de Software,GCLID_88c8c8901898,6.73
L0021,I000109,2026-04-09 15:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Engenharia de Software,GCLID_8f1428c2e6f5,5.74
L0022,I000110,2026-05-29 04:00:00,Orgânico,Site,Orgânico - MBA em Gestão,especifica,MBA em Gestão,,0.0
L0022,I000111,2026-06-02 22:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,MBA em Gestão,,6.73
L0022,I000112,2026-06-12 05:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,MBA em Gestão,,2.6
L0022,I000113,2026-06-21 03:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,MBA em Gestão,GCLID_8b78d2c71451,3.77
L0023,I000114,2026-04-25 23:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,MBA em Gestão,,6.32
L0023,I000115,2026-04-30 12:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,MBA em Gestão,,2.28
L0023,I000116,2026-05-01 17:00:00,Meta Ads,Meta,Meta Ads - Performance,performance,MBA em Gestão,FBCLID_0c97691500d1,8.94
L0023,I000117,2026-05-05 16:00:00,Meta Ads,Meta,Meta Ads - Performance,performance,MBA em Gestão,FBCLID_a4388db3147d,7.08
L0023,I000118,2026-05-12 23:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,MBA em Gestão,GCLID_66c9d83367d8,5.23
L0023,I000119,2026-05-19 08:00:00,Orgânico,Site,Orgânico - MBA em Gestão,especifica,MBA em Gestão,,0.0
L0024,I000120,2026-05-07 07:00:00,Meta Ads,Meta,Meta Ads - Marketing Digital,especifica,Marketing Digital,FBCLID_1a0020efb1f2,1.98
L0024,I000121,2026-05-11 19:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Marketing Digital,FBCLID_37d65217f9a8,6.32
L0024,I000122,2026-05-23 10:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Marketing Digital,,0.0
L0024,I000123,2026-06-05 09:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Marketing Digital,,4.65
L0024,I000124,2026-06-12 03:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marketing Digital,especifica,Marketing Digital,,7.63
L0024,I000125,2026-06-20 23:00:00,TikTok Ads,TikTok,TikTok Ads - Marketing Digital,especifica,Marketing Digital,,8.65
L0024,I000126,2026-07-23 14:00:00,E-mail,CRM,E-mail - Performance,performance,Agronegócio,,0.0
L0025,I000127,2026-05-09 16:00:00,E-mail,CRM,E-mail - MBA em Gestão,especifica,MBA em Gestão,,0.0
L0025,I000128,2026-05-18 19:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,MBA em Gestão,,8.14
L0025,I000129,2026-05-22 13:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,MBA em Gestão,,1.98
L0025,I000130,2026-05-31 12:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,MBA em Gestão,,0.0
L0025,I000131,2026-06-06 05:00:00,TikTok Ads,TikTok,TikTok Ads - MBA em Gestão,especifica,MBA em Gestão,,8.52
L0026,I000132,2026-02-26 02:00:00,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,MBA em Gestão,,5.0
L0027,I000133,2026-02-18 18:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Engenharia de Software,,4.77
L0028,I000134,2026-04-24 07:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Data Science,,5.99
L0028,I000135,2026-05-05 13:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Data Science,,0.0
L0028,I000136,2026-05-15 04:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Data Science,GCLID_2870a95638bd,5.57
L0029,I000137,2026-04-14 09:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Agronegócio,,1.61
L0031,I000143,2026-04-22 07:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Agronegócio,,0.0
L0031,I000144,2026-05-01 10:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Agronegócio,,0.0
L0031,I000145,2026-05-05 21:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Agronegócio,GCLID_b7b6d5573036,7.87
L0031,I000146,2026-05-15 08:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Agronegócio,FBCLID_3c9e39287c60,5.16
L0031,I000147,2026-05-25 12:00:00,Google Ads,Google,Google Ads - Performance,performance,Agronegócio,GCLID_ccfd70c440b6,6.55
L0032,I000148,2026-05-06 09:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Marketing Digital,,7.93
L0032,I000149,2026-05-15 03:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Marketing Digital,,1.87
L0032,I000150,2026-05-26 07:00:00,TikTok Ads,TikTok,TikTok Ads - Marketing Digital,especifica,Marketing Digital,,8.03
L0032,I000151,2026-06-06 10:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Marketing Digital,,0.81
L0033,I000152,2026-02-16 06:00:00,TikTok Ads,TikTok,TikTok Ads - Marketing Digital,especifica,Marketing Digital,,1.97
L0033,I000153,2026-02-21 19:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Marketing Digital,GCLID_ceb2336574e2,3.38
L0033,I000154,2026-03-05 07:00:00,E-mail,CRM,E-mail - Marketing Digital,especifica,Marketing Digital,,0.0
L0033,I000155,2026-03-14 20:00:00,Meta Ads,Meta,Meta Ads - Remarketing,remarketing,Marketing Digital,FBCLID_4696abeaa624,3.8
L0034,I000156,2026-02-02 13:00:00,E-mail,CRM,E-mail - Data Science,especifica,Data Science,,0.0
L0034,I000157,2026-02-07 10:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Data Science,,6.88
L0034,I000158,2026-02-19 10:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,Data Science,,3.55
L0034,I000159,2026-02-23 09:00:00,E-mail,CRM,E-mail - Marca Institucional,institucional,Data Science,,0.0
L0035,I000160,2026-01-27 01:00:00,Meta Ads,Meta,Meta Ads - Agronegócio,especifica,Agronegócio,FBCLID_9b1e7f2ad3e3,8.85
L0035,I000161,2026-02-05 16:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Agronegócio,,8.98
L0035,I000162,2026-02-17 15:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Agronegócio,,0.0
L0035,I000163,2026-02-28 17:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Agronegócio,,5.56
L0035,I000164,2026-03-08 01:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Agronegócio,,2.72
L0035,I000165,2026-03-10 22:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Agronegócio,GCLID_53d7c590ae7c,3.29
L0036,I000166,2026-02-06 13:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,Agronegócio,,1.8
L0036,I000167,2026-02-18 17:00:00,Meta Ads,Meta,Meta Ads - Remarketing,remarketing,Agronegócio,FBCLID_76b9a805100f,1.55
L0036,I000168,2026-02-23 07:00:00,Meta Ads,Meta,Meta Ads - Performance,performance,Agronegócio,FBCLID_a3de02aecd82,8.04
L0037,I000169,2026-05-09 03:00:00,E-mail,CRM,E-mail - Remarketing,remarketing,MBA em Gestão,,0.0
L0037,I000170,2026-05-13 00:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,MBA em Gestão,FBCLID_2656939089cd,2.78
L0037,I000171,2026-05-22 00:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,MBA em Gestão,,6.57
L0037,I000172,2026-05-22 10:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,MBA em Gestão,GCLID_dc587fa38677,8.33
L0037,I000173,2026-06-03 07:00:00,Google Ads,Google,Google Ads - Performance,performance,MBA em Gestão,GCLID_becc9694c958,4.04
L0037,I000174,2026-06-14 01:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - MBA em Gestão,especifica,MBA em Gestão,,7.48
L0037,I000175,2026-06-24 19:00:00,E-mail,CRM,E-mail - MBA em Gestão,especifica,MBA em Gestão,,0.0
L0037,I000176,2026-06-28 02:00:00,Google Ads,Google,Google Ads - Performance,performance,MBA em Gestão,GCLID_f65a10c08f07,6.48
L0037,I000177,2026-06-30 16:00:00,E-mail,CRM,E-mail - MBA em Gestão,especifica,MBA em Gestão,,0.0
L0037,I000178,2026-07-11 16:00:00,E-mail,CRM,E-mail - Remarketing,remarketing,MBA em Gestão,,0.0
L0037,I000179,2026-07-12 17:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - MBA em Gestão,especifica,MBA em Gestão,,4.02
L0037,I000180,2026-07-17 05:00:00,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,MBA em Gestão,,4.66
L0038,I000181,2026-05-30 22:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Engenharia de Software,GCLID_483de07a3239,8.72
L0038,I000182,2026-06-12 12:00:00,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,Engenharia de Software,FBCLID_996c090947e8,2.22
L0038,I000183,2026-06-19 05:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Engenharia de Software,GCLID_fe1763200c36,4.06
L0038,I000184,2026-06-28 08:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Engenharia de Software,GCLID_788e431c0340,7.24
L0038,I000185,2026-07-09 15:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Engenharia de Software,,1.2
L0038,I000186,2026-07-22 01:00:00,Orgânico,Site,Orgânico - Remarketing,remarketing,Engenharia de Software,,0.0
L0038,I000187,2026-07-24 17:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Engenharia de Software,,8.01
L0038,I000188,2026-07-28 04:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Engenharia de Software,GCLID_1912f7e7baa7,4.81
L0038,I000189,2026-08-07 11:00:00,Meta Ads,Meta,Meta Ads - Engenharia de Software,especifica,Engenharia de Software,FBCLID_e0a66a843ae6,6.36
L0038,I000190,2026-08-13 23:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,Engenharia de Software,,7.78
L0039,I000191,2026-03-26 16:00:00,Meta Ads,Meta,Meta Ads - Marketing Digital,especifica,Marketing Digital,FBCLID_66344549e00a,8.18
L0039,I000192,2026-04-01 15:00:00,Orgânico,Site,Orgânico - Marketing Digital,especifica,Marketing Digital,,0.0
L0039,I000193,2026-04-13 08:00:00,Orgânico,Site,Orgânico - Performance,performance,Marketing Digital,,0.0
L0039,I000194,2026-04-14 04:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Marketing Digital,GCLID_9b8270ea7cd0,5.59
L0039,I000195,2026-04-16 14:00:00,E-mail,CRM,E-mail - Remarketing,remarketing,Marketing Digital,,0.0
L0039,I000196,2026-04-26 03:00:00,Google Ads,Google,Google Ads - Marketing Digital,especifica,Marketing Digital,GCLID_090adfaf7d44,5.99
L0039,I000197,2026-05-07 14:00:00,Meta Ads,Meta,Meta Ads - Marketing Digital,especifica,Marketing Digital,FBCLID_b2eba912204c,3.36
L0039,I000198,2026-05-19 20:00:00,TikTok Ads,TikTok,TikTok Ads - Performance,performance,Marketing Digital,,2.15
L0039,I000199,2026-06-01 13:00:00,Orgânico,Site,Orgânico - Performance,performance,Marketing Digital,,0.0
L0039,I000200,2026-06-06 02:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Marketing Digital,,0.0
L0039,I000201,2026-06-14 08:00:00,Meta Ads,Meta,Meta Ads - Performance,performance,Marketing Digital,FBCLID_0c2851dabb31,3.73
L0040,I000202,2026-03-14 18:00:00,Orgânico,Site,Orgânico - MBA em Gestão,especifica,MBA em Gestão,,0.0
L0040,I000203,2026-03-20 05:00:00,Meta Ads,Meta,Meta Ads - MBA em Gestão,especifica,MBA em Gestão,FBCLID_9e5ffb017510,8.14
L0041,I000204,2026-02-20 00:00:00,Google Ads,Google,Google Ads - Remarketing,remarketing,Data Science,GCLID_4c0fa479c8b0,7.38
L0041,I000205,2026-02-24 20:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Data Science,GCLID_5463394f25b4,3.38
L0042,I000206,2026-02-17 14:00:00,E-mail,CRM,E-mail - Remarketing,remarketing,Agronegócio,,0.0
L0044,I000214,2026-01-20 02:00:00,Orgânico,Site,Orgânico - Performance,performance,Marketing Digital,,0.0
L0044,I000215,2026-01-26 14:00:00,Orgânico,Site,Orgânico - Marca Institucional,institucional,Marketing Digital,,0.0
L0044,I000216,2026-02-08 08:00:00,Orgânico,Site,Orgânico - Performance,performance,Marketing Digital,,0.0
L0045,I000217,2026-03-26 13:00:00,TikTok Ads,TikTok,TikTok Ads - Agronegócio,especifica,Agronegócio,,8.41
L0045,I000218,2026-04-02 06:00:00,E-mail,CRM,E-mail - Agronegócio,especifica,Agronegócio,,0.0
L0045,I000219,2026-04-12 17:00:00,Google Ads,Google,Google Ads - Marca Institucional,institucional,Agronegócio,GCLID_83394f8902e8,4.45
L0045,I000220,2026-04-19 18:00:00,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,Agronegócio,,3.23
L0045,I000221,2026-04-28 16:00:00,Google Ads,Google,Google Ads - Agronegócio,especifica,Agronegócio,GCLID_507b4a5abceb,8.0
