period,channel,platform,campaign_name,campaign_type,investment
2026-05,Orgânico,Site,Orgânico - Remarketing,remarketing,160.44
2026-05,TikTok Ads,TikTok,TikTok Ads - Agronegócio,especifica,183.56
2026-05,TikTok Ads,TikTok,TikTok Ads - Engenharia de Software,especifica,121.88
2026-05,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,344.65
2026-05,TikTok Ads,TikTok,TikTok Ads - Marketing Digital,especifica,251.92
2026-05,TikTok Ads,TikTok,TikTok Ads - Performance,performance,336.25
2026-05,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,436.62
2026-06,E-mail,CRM,E-mail - Agronegócio,especifica,341.11
2026-06,E-mail,CRM,E-mail - Engenharia de Software,especifica,342.15
2026-06,E-mail,CRM,E-mail - MBA em Gestão,especifica,238.28
2026-06,E-mail,CRM,E-mail - Marca Institucional,institucional,295.77
2026-06,E-mail,CRM,E-mail - Performance,performance,333.82
2026-06,E-mail,CRM,E-mail - Remarketing,remarketing,122.61
2026-06,Google Ads,Google,Google Ads - Agronegócio,especifica,265.99
2026-06,Google Ads,Google,Google Ads - MBA em Gestão,especifica,358.96
2026-06,Google Ads,Google,Google Ads - Marca Institucional,institucional,366.96
2026-06,Google Ads,Google,Google Ads - Performance,performance,295.6
2026-06,Google Ads,Google,Google Ads - Remarketing,remarketing,127.24
2026-06,LinkedIn Ads,LinkedIn,LinkedIn Ads - Agronegócio,especifica,139.48
2026-06,LinkedIn Ads,LinkedIn,LinkedIn Ads - Engenharia de Software,especifica,269.13
2026-06,LinkedIn Ads,LinkedIn,LinkedIn Ads - MBA em Gestão,especifica,213.06
2026-06,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marca Institucional,institucional,199.94
2026-06,LinkedIn Ads,LinkedIn,LinkedIn Ads - Marketing Digital,especifica,324.37
2026-06,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,157.91
2026-06,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,225.44
2026-06,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,118.44
2026-06,Meta Ads,Meta,Meta Ads - Performance,performance,304.01
2026-06,Meta Ads,Meta,Meta Ads - Remarketing,remarketing,214.65
2026-06,Orgânico,Site,Orgânico - Agronegócio,especifica,333.23
2026-06,Orgânico,Site,Orgânico - Marca Institucional,institucional,251.59
2026-06,Orgânico,Site,Orgânico - Performance,performance,189.77
2026-06,Orgânico,Site,Orgânico - Remarketing,remarketing,138.4
2026-06,TikTok Ads,TikTok,TikTok Ads - MBA em Gestão,especifica,203.36
2026-06,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,255.87
2026-06,TikTok Ads,TikTok,TikTok Ads - Marketing Digital,especifica,408.24
2026-06,TikTok Ads,TikTok,TikTok Ads - Performance,performance,487.76
2026-06,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,221.17
2026-07,E-mail,CRM,E-mail - Marca Institucional,institucional,383.89
2026-07,E-mail,CRM,E-mail - Marketing Digital,especifica,59.99
2026-07,E-mail,CRM,E-mail - Performance,performance,372.82
2026-07,E-mail,CRM,E-mail - Remarketing,remarketing,387.83
2026-07,Google Ads,Google,Google Ads - Marca Institucional,institucional,221.69
2026-07,Google Ads,Google,Google Ads - Performance,performance,385.99
2026-07,Google Ads,Google,Google Ads - Remarketing,remarketing,207.51
2026-07,LinkedIn Ads,LinkedIn,LinkedIn Ads - Data Science,especifica,424.36
2026-07,LinkedIn Ads,LinkedIn,LinkedIn Ads - MBA em Gestão,especifica,333.83
2026-07,LinkedIn Ads,LinkedIn,LinkedIn Ads - Remarketing,remarketing,253.84
2026-07,Meta Ads,Meta,Meta Ads - Agronegócio,especifica,60.75
2026-07,Meta Ads,Meta,Meta Ads - Marca Institucional,institucional,372.98
2026-07,Meta Ads,Meta,Meta Ads - Performance,performance,86.21
2026-07,Meta Ads,Meta,Meta Ads - Remarketing,remarketing,137.85
2026-07,Orgânico,Site,Orgânico - Agronegócio,especifica,135.66
2026-07,Orgânico,Site,Orgânico - Engenharia de Software,especifica,345.98
2026-07,Orgânico,Site,Orgânico - Marca Institucional,institucional,217.07
2026-07,Orgânico,Site,Orgânico - Performance,performance,214.78
2026-07,Orgânico,Site,Orgânico - Remarketing,remarketing,294.57
2026-07,TikTok Ads,TikTok,TikTok Ads - Marca Institucional,institucional,310.69
2026-07,TikTok Ads,TikTok,TikTok Ads - Performance,performance,349.37
2026-07,TikTok Ads,TikTok,TikTok Ads - Remarketing,remarketing,116.17
2026-08,LinkedIn Ads,LinkedIn,LinkedIn Ads - Performance,performance,360.3
2026-08,Meta Ads,Meta,Meta Ads - Engenharia de Software,especifica,342.27
2026-02,Google Ads,Google,Google Ads - Campanha Descontinuada,performance,1500.0
